t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
30,1000,493,507,386,113,0,2886,2260,0.025617336086086087,0.6599375,0.34006250000000005,76,32,0,421.09249587374796,8,0.7745457483938237,0.9687423851561011,0.709910458413678,0.9116427020112025
31,1000,512,488,370,123,0,2820,2203,0.027694413163163165,0.6468125,0.3531875,63,32,0,427.4251459614724,8,0.7836169287951663,0.9696109149539902,0.7182913066060296,0.9144358281577293
32,1000,506,494,375,137,0,2845,2204,0.029748091841841844,0.659125,0.34087500000000004,70,29,0,413.60294117647055,8,0.7722246026749994,0.9662076026412374,0.7115508202983516,0.9132526110851364
33,1000,487,513,375,131,0,2842,2243,0.03078340840840841,0.6509375,0.34906250000000005,90,29,0,435.2030947775628,8,0.787917593654963,0.9672938809035138,0.7101389725380796,0.914832598343587
34,1000,516,484,377,110,0,2889,2275,0.032367054554554554,0.647,0.353,68,28,0,420.8810343091675,8,0.7818001489043985,0.9657813546093662,0.7169451799669937,0.9132317771093653
35,1000,513,487,385,131,0,2901,2317,0.03352899774774775,0.6520625,0.3479375,65,27,0,439.347906632086,8,0.7949233119960216,0.9702040070509206,0.6998138988559813,0.9172686100106265
36,1000,496,504,387,126,0,2958,2329,0.03475043793793794,0.651125,0.34887500000000005,54,26,0,440.7692986844816,8,0.7901329176580545,0.9652233550750099,0.7084522840085827,0.9135926763151538
37,1000,506,494,370,126,0,2811,2222,0.03750290915915916,0.6496875,0.3503125,60,24,0,414.9616562092692,8,0.7847552732020437,0.9664326057813454,0.701902043285679,0.9152429171925571
38,1000,512,488,371,135,0,2819,2253,0.03850466091091091,0.663625,0.336375,61,23,0,431.75123981718775,8,0.7932351725136688,0.9696485830821238,0.7074161165866741,0.9206108728892837
39,1000,507,493,381,131,0,2912,2288,0.03916482107107107,0.648125,0.35187500000000005,52,22,0,439.11004900477946,8,0.7873392913593388,0.9638537080893346,0.7131828577671088,0.9123022194293285
40,1000,537,463,392,115,0,2941,2268,0.04022866616616617,0.6493125,0.35068750000000004,60,21,0,431.48530865306856,8,0.7783132631681885,0.9670496121988238,0.6906395189074205,0.9137357726015726
41,1000,500,500,375,162,0,2857,2228,0.04052195945945946,0.639375,0.360625,63,21,0,439.79671618451914,8,0.778039960201172,0.9613841905289833,0.7024415494272398,0.9070910153153782
42,1000,502,498,377,123,0,2818,2181,0.04159428178178178,0.62925,0.37075,54,21,0,425.63277871611507,8,0.7779357882335924,0.9661041206313928,0.6886005422321113,0.9096441456398213
43,1000,499,501,377,125,0,2865,2202,0.04245066941941942,0.6124375,0.38756250000000003,73,20,1,424.67386562606447,8,0.762038642363923,0.9623724714465075,0.6951167387999909,0.9076188495829938
