t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
39,1000,505,495,485,30,0,3647,2921,0.01881393893893894,0.978,0.02200000000000002,6,26,0,563.2512810689143,8,0.7948365201012868,0.9671732285566784,0.684138662442791,0.9198132368406566
40,1000,480,520,495,10,0,3760,2983,0.019202296046046046,0.984125,0.015874999999999972,7,24,0,544.6149742723464,8,0.7935225227460364,0.9618043578874682,0.6847030721077294,0.9160438027829544
41,1000,517,483,480,0,0,3603,2837,0.019721846846846847,0.9805625,0.019437499999999996,7,22,0,548.9897064430043,8,0.7932544990289038,0.9651856996199674,0.6789618633926696,0.9188388352661288
42,1000,496,504,483,34,0,3650,2943,0.02027245995995996,0.9823125,0.017687499999999967,5,22,0,540.3873460472033,8,0.7964275141702436,0.9646031652302346,0.686829404450137,0.9182936055220666
43,1000,484,516,496,0,0,3750,2951,0.020766766766766767,0.9785625,0.021437499999999998,3,21,0,546.2943224614511,8,0.7883919224777729,0.9603664318119518,0.6832325160377914,0.9135497525197991
44,1000,496,504,484,0,0,3622,2852,0.020900212712712713,0.9798125,0.020187500000000025,4,21,0,532.4871342583332,8,0.7867185577226172,0.9570762220566491,0.6762018585629372,0.9124041326294944
45,1000,485,515,496,0,0,3694,2881,0.021129848598598597,0.981,0.019000000000000017,2,21,0,563.6776889801305,8,0.7851322715907061,0.9650822896680791,0.6671397174199296,0.9156939237281083
46,1000,474,526,485,0,0,3670,2863,0.021827796546546548,0.9805625,0.019437499999999996,5,21,0,528.280911367388,8,0.786414402001066,0.9654086119652326,0.6715551302501488,0.918733652199624
47,1000,505,495,474,0,0,3582,2775,0.022338901401401403,0.9776875,0.022312499999999957,6,21,0,544.7351194084131,8,0.7701672926475885,0.9601358386089602,0.6730758077194559,0.9130440465918551
48,1000,509,491,495,10,0,3712,2892,0.022903215715715717,0.9774375,0.02256250000000004,3,19,0,559.3858798013812,8,0.7929819396274328,0.9641323000556687,0.6632734949155664,0.9182278800366278
49,1000,510,490,491,18,0,3703,2949,0.02305909034034034,0.9781875,0.021812500000000012,3,19,0,540.3501458006934,8,0.7950079442577852,0.9644856244947722,0.6660161023358261,0.9177592649438671
50,1000,488,512,490,20,0,3710,2874,0.02344391266266266,0.9775625,0.0224375,5,19,0,557.0765661252901,8,0.786498125220807,0.9639981390299152,0.6630419029076523,0.9170422008235383
51,1000,502,498,488,0,0,3689,2899,0.02371161786786787,0.9755625,0.0244375,1,19,0,524.5000440489824,8,0.785281535896935,0.9614062888254886,0.6619641815533346,0.9163507032660074
52,1000,533,467,498,4,0,3731,2939,0.024086054804804805,0.9744375,0.025562500000000044,1,19,0,549.6786205062281,8,0.7891859268078445,0.9610891913522432,0.6529827308620755,0.9164047724740546
53,1000,491,509,467,66,0,3500,2738,0.024723223223223224,0.9761875,0.023812500000000014,6,19,0,529.8772547037785,8,0.7815883702741501,0.9579193755298471,0.6555487374951521,0.9120005991080846
54,1000,487,513,491,0,0,3651,2844,0.02497272272272272,0.976,0.02400000000000002,1,19,0,571.1493539415017,8,0.7832303856834014,0.9596392997942853,0.6418545134684086,0.9122407276741646
55,1000,496,504,487,0,0,3639,2879,0.025458395895895897,0.9753125,0.024687499999999973,1,19,0,528.5974734552327,8,0.7944224606801001,0.9639032791925501,0.6352175390621083,0.9157774847074848
