t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
11,1000,498,502,498,4,0,3858,3351,0.004961242492492492,0.9955625,0.004437499999999983,64,87,0,558.9326361812896,8,0.86402171045011,0.9812070931729389,0.8328738925832802,0.9500412366992375
12,1000,514,486,498,0,0,3883,3317,0.005342655155155155,0.99575,0.004249999999999976,71,81,0,552.729055695469,8,0.8613333754969146,0.9807007834363283,0.8311900896410541,0.9482886878337474
13,1000,514,486,486,28,0,3788,3224,0.005748998998998999,0.9946875,0.005312500000000053,61,72,0,557.2158552063527,8,0.8523578580361401,0.974952649660291,0.8236782822213878,0.9437021938296579
14,1000,504,496,486,28,0,3747,3159,0.006164132882882883,0.993875,0.006125000000000047,50,68,0,557.2158552063527,8,0.8433759467685034,0.9748530764185062,0.8096727387424861,0.9422181553003642
15,1000,510,490,496,8,0,3825,3245,0.006636636636636636,0.993625,0.0063750000000000195,38,62,0,568.849426563078,8,0.8519471988636275,0.9768407148871188,0.7989921689748006,0.943408323369033
16,1000,492,508,490,20,0,3804,3240,0.007146458958958959,0.99325,0.006750000000000034,29,57,0,542.881045515183,8,0.8457903385958724,0.9753609027489519,0.8108012173232713,0.940943175713038
17,1000,512,488,492,0,0,3803,3218,0.007474505755755756,0.9926875,0.007312500000000055,40,56,0,570.9379776213748,8,0.8405233992823079,0.9705801812904086,0.7934466498088358,0.9364779218360749
18,1000,468,532,488,24,0,3736,3107,0.007908877627627627,0.9941875,0.005812499999999998,23,55,0,562.594496522528,8,0.83744461230496,0.9762660770829676,0.78129973493769,0.9412280528657492
19,1000,512,488,468,0,0,3615,3025,0.008465183933933935,0.99225,0.007750000000000035,29,52,0,536.3135057837155,8,0.8431061971651906,0.9714852190122985,0.7921403069004141,0.9383870286804717
20,1000,472,528,488,24,0,3734,3140,0.008959428178178179,0.9921875,0.0078125,25,49,0,544.3938479544996,8,0.8317284719739462,0.9687401212649,0.7715664641826087,0.9338029274281844
21,1000,511,489,472,0,0,3592,2973,0.009458458458458458,0.991625,0.008375000000000021,20,47,0,507.7026854569653,8,0.8294402051499778,0.974539980783714,0.766055128719784,0.9390118981879618
22,1000,490,510,489,22,0,3767,3120,0.009881662912912913,0.9913125,0.00868749999999996,17,43,0,565.6415363471424,8,0.8293971210758179,0.9706365975573884,0.7746103668353969,0.9357897816060723
23,1000,510,490,490,0,0,3751,3090,0.010311874374374374,0.9906875,0.009312499999999946,18,43,0,543.4831816741364,8,0.8178553323284612,0.9644346297299614,0.7653550228668988,0.9286942572060846
24,1000,493,507,490,20,0,3711,3039,0.01081472097097097,0.990625,0.009375000000000022,15,42,0,586.410707307542,8,0.8167687164773592,0.9621202067125365,0.748838239386152,0.925768742689504
25,1000,491,509,493,0,0,3696,2994,0.011357795295295296,0.9910625,0.008937500000000043,12,40,0,554.0563336615968,8,0.8142405890437009,0.9695469186825038,0.7371634974965956,0.9330590303506837
26,1000,490,510,491,0,0,3747,3062,0.011786567817817818,0.9900625,0.009937500000000044,11,39,0,547.5815701906805,8,0.8154065754051121,0.9645239981950819,0.7543334820486475,0.9274435591392065
27,1000,471,529,490,0,0,3703,2992,0.012401057307307308,0.9855,0.014499999999999957,9,39,0,552.6782220380728,8,0.8118041116284623,0.9630736293161574,0.7427896265562611,0.9245209476581552
28,1000,524,476,471,0,0,3545,2862,0.013080142642642643,0.9866875,0.01331249999999995,3,37,1,534.35962163347,8,0.808236583215766,0.9635289419397077,0.7342451875303241,0.9231615980145234
29,1000,507,493,476,48,0,3591,2889,0.013519582082082083,0.9869375,0.013062499999999977,10,36,0,506.6094267060192,8,0.8032340830173901,0.9612901584289044,0.7316726041031593,0.9234489386384656
30,1000,507,493,493,14,0,3691,2958,0.014006506506506507,0.987375,0.012624999999999997,4,33,0,550.9603592534745,8,0.7959135821168902,0.961796548851227,0.7324613698904828,0.9200844596682944
31,1000,503,497,493,14,0,3705,3012,0.014477352352352353,0.986125,0.01387499999999997,10,33,0,565.4958841130019,8,0.8068124306141089,0.9612221586667148,0.7184235070117971,0.9223874862040645
32,1000,510,490,497,6,0,3733,3031,0.014937437437437438,0.98475,0.015249999999999986,8,31,0,557.8228988119031,8,0.8089302532691068,0.9649144789113296,0.7257599047119446,0.9243890028460011
33,1000,498,502,490,20,0,3700,2959,0.015437531281281282,0.9839375,0.01606249999999998,4,30,0,544.0866550341045,8,0.8082324400248608,0.9697347187151985,0.7232459522916774,0.9304171516094393
34,1000,522,478,498,0,0,3804,3032,0.01583983983983984,0.9853125,0.014687499999999964,8,29,0,573.7433372816108,8,0.8027575370989668,0.9656438603905122,0.7376873154512631,0.9240224448168465
35,1000,483,517,478,44,0,3628,2873,0.016183621121121122,0.9856875,0.01431249999999995,3,29,0,554.5405122031726,8,0.7977246486437161,0.9594295272936918,0.7228967694820089,0.9178528917152061
36,1000,494,506,483,0,0,3613,2852,0.01666532157157157,0.98375,0.016249999999999987,5,29,0,550.8647071046717,8,0.7983626925630004,0.9628869988945572,0.7143961956801903,0.9195811067521932
37,1000,504,496,494,0,0,3720,2949,0.017180680680680682,0.9838125,0.01618750000000002,2,29,0,571.1945098516517,8,0.7921845345658775,0.9648665250528132,0.7031384326354152,0.9214014941716753
38,1000,485,515,496,8,0,3741,2910,0.017981888138138138,0.980875,0.019124999999999948,3,29,0,564.9617871840094,8,0.7833042839626768,0.9586635501046749,0.6977293052016929,0.912430183034457
39,1000,519,481,485,0,0,3614,2873,0.01845160785785786,0.9823125,0.017687499999999967,7,29,0,553.6073618188022,8,0.7951596448805464,0.9628911883406073,0.6842366106719514,0.917900687416558
40,1000,502,498,481,38,0,3608,2822,0.01910835835835836,0.979,0.02100000000000002,7,29,0,528.8626165511156,8,0.7843538148508064,0.9590306303224849,0.6894503660352669,0.9130323999687897
