t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
49,1000,497,503,493,0,0,3725,2928,0.022166541541541542,0.9786875,0.021312499999999956,3,19,0,546.6836711742106,8,0.7992483397010139,0.9631299150679203,0.6578704890086537,0.9226015509055624
50,1000,493,507,497,0,0,3735,2959,0.022813501001001,0.977875,0.02212499999999995,4,19,0,545.5760255682508,8,0.7923415388566681,0.9586793783916219,0.6517691478345383,0.9170765891463595
51,1000,479,521,493,0,0,3672,2912,0.023387794044044043,0.9783125,0.02168749999999997,6,19,0,543.0704329834251,8,0.7944414833361143,0.9632533111338218,0.6394788032178601,0.9235019475476608
52,1000,484,516,479,0,0,3607,2908,0.023941754254254256,0.9758125,0.02418750000000003,1,18,0,572.8577848796564,8,0.808429430775552,0.9671615494501593,0.6510006312034234,0.9270294728025653
53,1000,482,518,484,0,0,3673,2937,0.024318068068068067,0.9796875,0.020312499999999956,0,18,0,562.8285585230605,8,0.7968111302276714,0.9635432848607819,0.6527639788031225,0.9239870752609592
54,1000,500,500,482,0,0,3633,2884,0.024550018768768767,0.9770625,0.022937500000000055,4,17,0,523.5399634033118,8,0.8074655862142365,0.9618097045353278,0.6577373880933992,0.922104239646395
55,1000,503,497,500,0,0,3757,2974,0.024670827077077077,0.9755625,0.0244375,3,17,0,555.5555555555555,8,0.7934699448935948,0.9615085073964845,0.6466915344476698,0.9197697435968663
56,1000,509,491,497,6,0,3722,2988,0.025129097847847847,0.9789375,0.021062499999999984,4,17,0,552.2444453387349,8,0.7956953739580229,0.9615131165499368,0.639828810034022,0.9199011683977465
57,1000,511,489,491,18,0,3693,2906,0.025667354854854853,0.975375,0.024625000000000008,1,17,0,561.3545287952629,8,0.7853159223558527,0.9629015483166938,0.6442388569134164,0.9200803844310811
58,1000,492,508,489,22,0,3681,2895,0.025799236736736737,0.97275,0.027249999999999996,3,17,0,572.2610583147662,8,0.7916967403933998,0.9644209582993643,0.6364789460328575,0.9209962111477386
59,1000,493,507,492,0,0,3713,2932,0.026068724974974974,0.97525,0.02475000000000005,3,17,0,557.9877182953142,8,0.7877357634572654,0.9636264887931959,0.6301965120624199,0.9192892295559784
60,1000,526,474,493,0,0,3714,2903,0.026540352852852854,0.975625,0.024375000000000036,3,16,0,546.6836711742106,8,0.786303769071824,0.962475797659454,0.6281072962762388,0.9188494805458024
61,1000,494,506,474,52,0,3569,2796,0.0270424486986987,0.972,0.028000000000000025,2,16,0,530.1137731050006,8,0.788373758423021,0.9660533070337979,0.6205673807569011,0.9212509831085847
