t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
0,40,20,20,0,0,0,40,40,0.0,1.0,0.0,2,40,0,0.0,0,0.9601902496836325,0.9978273585332673,0.0,0.9789520717421745
1,40,20,20,13,7,0,104,98,0.01596554487179487,1.0,0.0,3,13,1,18.270270270270274,0,0.9451988185363487,0.9909931786461389,0.9416420810666385,0.9678676835545446
2,40,18,22,18,2,0,142,121,0.027263621794871795,0.95,0.050000000000000044,6,9,0,22.816901408450708,0,0.8178805988502458,0.9599677966730843,0.9007843855730042,0.9394818450265887
3,40,21,19,18,0,0,134,108,0.0375801282051282,0.9015625,0.09843749999999996,4,7,0,20.836012861736332,0,0.8157389996159785,0.9534795084524206,0.8622145395130665,0.9359145617969489
4,40,16,24,15,6,0,108,76,0.052383814102564104,0.8140625,0.18593749999999998,5,7,0,18.94736842105263,0,0.6991531719766976,0.9405544922876494,0.8097224089691655,0.9150986675214853
5,40,17,23,15,1,0,107,82,0.0703926282051282,0.7203125,0.2796875,5,5,0,15.929203539823009,0,0.721872447559973,0.9609323066003146,0.7675846614833628,0.9297247683990466
6,40,17,23,15,2,0,116,94,0.10677083333333333,0.7390625,0.26093750000000004,2,5,0,17.821782178217823,0,0.8189157485745627,0.9793020301655506,0.8343488980318237,0.9474649912955474
7,40,16,24,15,2,0,114,87,0.11466346153846153,0.703125,0.296875,7,5,0,20.224719101123593,0,0.7624534184075386,0.936004135876693,0.8188013336562064,0.9019134087475935
8,40,24,16,16,0,0,117,82,0.19713541666666667,0.6078125,0.3921875,5,5,2,13.061224489795917,0,0.7088727362618514,0.9595746247932737,0.7845942216757906,0.9282769659498179
